direktorij,slika,presek/unija,precision,recall,mse,,
compressedQ100_pilKompresor,s1.jpg,0.971358482,0.983761272,0.983287887,3.180099026,,3.180099026
compressedQ100_pilKompresor,s2.jpg,0.939827734,0.965611983,0.965398077,11.42414307,,4.8808391
compressedQ100_pilKompresor,s3.jpg,0.951767225,0.970375542,0.969456901,5.365722802,,5.147353314
compressedQ100_pilKompresor,s4.jpg,0.959276388,0.98167934,0.982278156,17.95111773,,5.365722802
compressedQ100_pilKompresor,s5.jpg,0.965087575,0.981429843,0.978353442,11.68876304,,5.407391952
compressedQ100_pilKompresor,s6.jpg,0.936294156,0.969398629,0.964702338,4.8808391,,6.101937407
compressedQ10_pilKompresor,s1.jpg,0.43285348,0.862929849,0.764165308,21.18186428,,6.809784698
compressedQ10_pilKompresor,s2.jpg,0.46818212,0.825489675,0.853399304,46.5328763,,7.597257824
compressedQ10_pilKompresor,s3.jpg,0.440347054,0.732532043,0.795838752,57.6871535,,7.918390462
compressedQ10_pilKompresor,s4.jpg,0.404612887,0.720152726,0.878886365,120.2187183,,8.023785395
compressedQ10_pilKompresor,s5.jpg,0.659235907,0.835241768,0.91731283,53.17967213,,8.328345753
compressedQ10_pilKompresor,s6.jpg,0.565179315,0.674477464,0.790331049,32.55521915,,8.406318927
compressedQ15_pilKompresor,s1.jpg,0.466404377,0.927800703,0.767143715,20.31771474,,8.540566319
compressedQ15_pilKompresor,s2.jpg,0.514623498,0.784188602,0.887595927,47.22909091,,8.862831595
compressedQ15_pilKompresor,s3.jpg,0.463732147,0.706498429,0.770896822,57.32566319,,9.446199702
compressedQ15_pilKompresor,s4.jpg,0.625569942,0.865306253,0.861546817,89.79976155,,9.697231834
compressedQ15_pilKompresor,s5.jpg,0.571243105,0.845921092,0.926626373,58.23731744,,10.56125186
compressedQ15_pilKompresor,s6.jpg,0.565346084,0.780740633,0.775733657,28.69532151,,10.64828614
compressedQ1_pilKompresor,s1.jpg,0.329281134,0.546347241,0.807232861,48.22661994,,11.15876105
compressedQ1_pilKompresor,s2.jpg,0.078513576,0.224895861,0.874396968,92.41901639,,11.42414307
compressedQ1_pilKompresor,s3.jpg,0.005242397,0.0796469,0.925260718,88.48089419,,11.62847222
compressedQ1_pilKompresor,s4.jpg,0.021501855,0.135463792,0.924660534,159.3648286,,11.68876304
compressedQ1_pilKompresor,s5.jpg,0.028772762,0.214654405,0.977837838,87.93710879,,11.77120715
compressedQ1_pilKompresor,s6.jpg,0.304478063,0.301036596,0.85116072,46.91478037,,11.89627422
compressedQ20_pilKompresor,s1.jpg,0.51580894,0.925745071,0.790193597,17.88365824,,12.95707899
compressedQ20_pilKompresor,s2.jpg,0.539232603,0.857307454,0.888980792,39.63123696,,13.50002981
compressedQ20_pilKompresor,s3.jpg,0.533270071,0.802353997,0.819394927,37.46837556,,13.70235469
compressedQ20_pilKompresor,s4.jpg,0.678518261,0.919658613,0.885671909,84.84202683,,13.75590451
compressedQ20_pilKompresor,s5.jpg,0.730485845,0.868110353,0.925431662,41.47695976,,13.83409025
compressedQ20_pilKompresor,s6.jpg,0.585891851,0.787352564,0.771287575,30.01477797,,14.31892697
compressedQ25_pilKompresor,s1.jpg,0.556410512,0.948532783,0.797093538,17.23724496,,14.42080477
compressedQ25_pilKompresor,s2.jpg,0.574693076,0.850615971,0.891629506,50.36941878,,14.5585693
compressedQ25_pilKompresor,s3.jpg,0.534983202,0.882150516,0.843209229,40.42390462,,14.58279714
compressedQ25_pilKompresor,s4.jpg,0.724290291,0.945519299,0.895034169,46.54861401,,14.62143899
compressedQ25_pilKompresor,s5.jpg,0.723349372,0.859922872,0.944111516,43.1947541,,14.70122206
compressedQ25_pilKompresor,s6.jpg,0.609668297,0.836966262,0.769354928,26.2840494,,14.7185693
compressedQ30_pilKompresor,s1.jpg,0.586884802,0.952323093,0.804338566,15.76356591,,14.96011673
compressedQ30_pilKompresor,s2.jpg,0.515524361,0.872374369,0.856248097,39.65263785,,14.97878107
compressedQ30_pilKompresor,s3.jpg,0.525171319,0.910677772,0.843924759,32.60864382,,15.11371828
compressedQ30_pilKompresor,s4.jpg,0.720511663,0.933583598,0.893148751,52.25710879,,15.14259314
compressedQ30_pilKompresor,s5.jpg,0.762961881,0.871788787,0.949102183,31.18682563,,15.29502715
compressedQ30_pilKompresor,s6.jpg,0.62772437,0.813122139,0.793134811,27.29758987,,15.30771982
compressedQ35_pilKompresor,s1.jpg,0.603718273,0.958726884,0.803673122,13.75590451,,15.52447094
compressedQ35_pilKompresor,s2.jpg,0.594562938,0.876850129,0.868727225,39.51111773,,15.76356591
