direktorij,slika,presek/unija,precision,recall,mse,,
compressedQ100_pilKompresor,s1.jpg,0.971358482,0.983761272,0.983287887,0.006494223,,0.004153128
compressedQ100_pilKompresor,s2.jpg,0.939827734,0.965611983,0.965398077,0.004877284,,0.004414911
compressedQ100_pilKompresor,s3.jpg,0.951767225,0.970375542,0.969456901,0.013910284,,0.004819203
compressedQ100_pilKompresor,s4.jpg,0.959276388,0.98167934,0.982278156,0.015618007,,0.004877284
compressedQ100_pilKompresor,s5.jpg,0.965087575,0.981429843,0.978353442,0.01556147,,0.005015745
compressedQ100_pilKompresor,s6.jpg,0.936294156,0.969398629,0.964702338,0.006269525,,0.005138964
compressedQ10_pilKompresor,s1.jpg,0.43285348,0.862929849,0.764165308,0.011335035,,0.005468878
compressedQ10_pilKompresor,s2.jpg,0.46818212,0.825489675,0.853399304,0.029856705,,0.005495476
compressedQ10_pilKompresor,s3.jpg,0.440347054,0.732532043,0.795838752,0.037117324,,0.005723917
compressedQ10_pilKompresor,s4.jpg,0.404612887,0.720152726,0.878886365,0.158867236,,0.005738274
compressedQ10_pilKompresor,s5.jpg,0.659235907,0.835241768,0.91731283,0.049981817,,0.005907403
compressedQ10_pilKompresor,s6.jpg,0.565179315,0.674477464,0.790331049,0.009579214,,0.005909289
compressedQ15_pilKompresor,s1.jpg,0.466404377,0.927800703,0.767143715,0.016941224,,0.00607512
compressedQ15_pilKompresor,s2.jpg,0.514623498,0.784188602,0.887595927,0.022177844,,0.006269525
compressedQ15_pilKompresor,s3.jpg,0.463732147,0.706498429,0.770896822,0.029498761,,0.006290841
compressedQ15_pilKompresor,s4.jpg,0.625569942,0.865306253,0.861546817,0.052426857,,0.006339743
compressedQ15_pilKompresor,s5.jpg,0.571243105,0.845921092,0.926626373,0.08008075,,0.006388992
compressedQ15_pilKompresor,s6.jpg,0.565346084,0.780740633,0.775733657,0.007865761,,0.006438583
compressedQ1_pilKompresor,s1.jpg,0.329281134,0.546347241,0.807232861,0.04218892,,0.006494223
compressedQ1_pilKompresor,s2.jpg,0.078513576,0.224895861,0.874396968,0.117081888,,0.006506728
compressedQ1_pilKompresor,s3.jpg,0.005242397,0.0796469,0.925260718,0.077600169,,0.00664238
compressedQ1_pilKompresor,s4.jpg,0.021501855,0.135463792,0.924660534,0.34873696,,0.006681364
